# HumanityOS Game Items Database
# All items available in the game world with volumetric physics data
#
# Column definitions:
#   id                - Unique item identifier (snake_case, _0 suffix = default style)
#   name              - Display name shown to player
#   category          - clothing, tool, weapon, furniture, food, material, machine, vehicle
#   subcategory       - More specific grouping within category
#   base_material     - Primary material_id this item is made from
#   weight_kg         - Physical mass in kilograms
#   stack_size        - Max stack count (1 = not stackable)
#   durability        - Max durability points (0 = indestructible consumable)
#   description       - Short description of the item
#
# === CLOTHING ===
id,name,category,subcategory,base_material,weight_kg,stack_size,durability,description,content_class
screwdriver_phillips_0,Phillips Screwdriver,tool,fastening,steel,0.2,1,150,Cross-head screwdriver,solid
wrench_adjustable_0,Adjustable Wrench,tool,fastening,steel,0.5,1,200,Variable-jaw bolt wrench,solid
wrench_socket_set_0,Socket Wrench Set,tool,fastening,steel,2.0,1,250,Ratchet and socket collection,solid
pliers_0,Pliers,tool,gripping,steel,0.3,1,180,Pivot-jaw gripping tool,solid
saw_hand_0,Hand Saw,tool,cutting,steel,0.6,1,150,Manual crosscut saw,solid
saw_circular_0,Circular Saw,tool,cutting,steel,4.0,1,200,Powered rotary cutting saw,solid
drill_electric_0,Electric Drill,tool,boring,steel,2.0,1,200,Corded rotary drill,solid
drill_manual_0,Hand Drill,tool,boring,steel,0.8,1,150,Manual brace-and-bit drill,solid
axe_0,Axe,tool,cutting,steel,1.8,1,200,Full-size felling axe,solid
hatchet_0,Hatchet,tool,cutting,steel,0.8,1,180,Compact one-hand chopping axe,solid
pickaxe_0,Pickaxe,tool,mining,steel,2.5,1,200,Rock-breaking pointed pick,solid
shovel_0,Shovel,tool,digging,steel,2.0,1,180,Flat-blade earth mover,solid
rake_0,Rake,tool,gardening,steel,1.0,1,120,Tine-head ground smoother,solid
hoe_0,Hoe,tool,gardening,steel,1.2,1,150,Flat-blade soil cultivator,solid
scythe_0,Scythe,tool,gardening,steel,2.0,1,120,Curved-blade crop harvester,solid
chisel_0,Chisel,tool,carving,steel,0.3,1,150,Flat-edge shaping blade,solid
file_metal_0,Metal File,tool,finishing,steel,0.4,1,120,Abrasive surface smoother,solid
sandpaper_0,Sandpaper,tool,finishing,sand,0.05,50,20,Grit-coated abrasive sheet,solid
tape_measure_0,Tape Measure,tool,measuring,steel,0.3,1,100,Retractable distance gauge,solid
level_0,Level,tool,measuring,aluminum,0.5,1,150,Spirit bubble alignment gauge,solid
square_0,Carpenter Square,tool,measuring,steel,0.4,1,200,Right-angle reference edge,solid
clamp_0,Clamp,tool,gripping,steel,0.6,1,200,Adjustable workpiece holder,solid
vise_0,Vise,tool,gripping,steel,5.0,1,300,Bench-mounted clamping jaw,solid
anvil_0,Anvil,tool,smithing,steel,30.0,1,500,Forging impact surface,solid
forge_hammer_0,Forge Hammer,tool,smithing,steel,3.0,1,250,Heavy blacksmithing hammer,solid
welding_torch_0,Welding Torch,tool,joining,steel,2.5,1,150,Oxy-fuel cutting and joining tool,solid
soldering_iron_0,Soldering Iron,tool,joining,copper,0.3,1,100,Electric solder-melting tip,solid
multimeter_0,Multimeter,tool,electrical,abs_plastic,0.5,1,100,Voltage/current/resistance meter,solid
wire_stripper_0,Wire Stripper,tool,electrical,steel,0.2,1,120,Insulation removal pliers,solid
crimping_tool_0,Crimping Tool,tool,electrical,steel,0.4,1,150,Terminal compression pliers,solid
crowbar_0,Crowbar,tool,prying,steel,2.0,1,300,Leverage prying bar,solid
bolt_cutter_0,Bolt Cutter,tool,cutting,steel,3.0,1,250,Heavy shear jaw cutter,solid
pipe_wrench_0,Pipe Wrench,tool,fastening,steel,1.5,1,200,Serrated-jaw pipe grip wrench,solid
trowel_0,Trowel,tool,masonry,steel,0.5,1,120,Flat-blade mortar spreader,solid
spirit_level_0,Spirit Level,tool,measuring,aluminum,0.6,1,150,Precision horizontal gauge,solid
pruning_shears_0,Pruning Shears,tool,gardening,steel,0.3,1,120,Spring-loaded branch cutter,solid
wheelbarrow_0,Wheelbarrow,tool,transport,steel,15.0,1,200,Single-wheel hand cart,solid
ladder_0,Ladder,tool,access,aluminum,8.0,1,250,Folding step ladder,solid
#
# === WEAPONS ===
knife_utility_0,Utility Knife,weapon,blade,steel,0.2,1,120,Folding everyday carry knife,solid
knife_combat_0,Combat Knife,weapon,blade,steel,0.4,1,200,Fixed-blade fighting knife,solid
sword_0,Sword,weapon,blade,steel,1.5,1,250,Single-edge long blade,solid
spear_0,Spear,weapon,polearm,steel,2.0,1,200,Pointed thrusting polearm,solid
bow_recurve_0,Recurve Bow,weapon,ranged,bamboo,1.0,1,150,Curved laminate bow,solid
bow_compound_0,Compound Bow,weapon,ranged,aluminum,2.0,1,250,Cam-levered precision bow,solid
crossbow_0,Crossbow,weapon,ranged,steel,3.5,1,200,Trigger-release bolt launcher,solid
sling_0,Sling,weapon,ranged,leather,0.1,1,80,Centrifugal projectile launcher,solid
staff_0,Staff,weapon,blunt,oak,1.5,1,150,Full-length wooden striking pole,solid
mace_0,Mace,weapon,blunt,steel,2.5,1,250,Flanged head impact weapon,solid
shield_round_0,Round Shield,weapon,defense,steel,3.0,1,300,Circular arm-strapped guard,solid
shield_tower_0,Tower Shield,weapon,defense,steel,8.0,1,400,Full-body standing shield,solid
pistol_0,Pistol,weapon,firearm,steel,1.0,1,300,Semi-automatic handgun,solid
rifle_0,Rifle,weapon,firearm,steel,3.5,1,350,Shoulder-fired long arm,solid
shotgun_0,Shotgun,weapon,firearm,steel,3.0,1,300,Smoothbore scatter gun,solid
sniper_0,Sniper Rifle,weapon,firearm,steel,5.0,1,350,Precision long-range rifle,solid
gun_holster_0,Gun Holster,weapon,accessory,leather,0.3,1,120,Belt-mounted firearm carrier,solid
quiver_0,Quiver,weapon,accessory,leather,0.4,1,100,Back-mounted arrow holder,solid
ammo_pouch_0,Ammo Pouch,weapon,accessory,canvas,0.2,1,80,Belt-mounted cartridge carrier,solid
arrow_0,Arrow,weapon,ammo,bamboo,0.05,50,0,Pointed shaft projectile,solid
bolt_crossbow_0,Crossbow Bolt,weapon,ammo,steel,0.08,50,0,Short heavy crossbow projectile,solid
bullet_pistol_0,Pistol Ammo,weapon,ammo,brass,0.01,200,0,Handgun cartridge,solid
bullet_rifle_0,Rifle Ammo,weapon,ammo,brass,0.02,100,0,Long-arm cartridge,solid
#
# === FURNITURE ===
chair_0,Chair,furniture,seating,oak,5.0,1,200,Four-leg wooden chair,solid
table_dining_0,Dining Table,furniture,table,oak,20.0,1,250,Six-seat family table,solid
table_work_0,Work Table,furniture,table,pine,15.0,1,200,Reinforced utility table,solid
desk_0,Desk,furniture,table,oak,18.0,1,220,Writing and computer desk,solid
bed_single_0,Single Bed,furniture,sleeping,pine,25.0,1,300,One-person sleeping frame,solid
bed_double_0,Double Bed,furniture,sleeping,pine,40.0,1,350,Two-person sleeping frame,solid
bunk_bed_0,Bunk Bed,furniture,sleeping,pine,35.0,1,300,Stacked two-tier bed frame,solid
shelf_0,Shelf,furniture,storage,pine,3.0,1,150,Wall-mounted single shelf,solid
bookcase_0,Bookcase,furniture,storage,oak,15.0,1,200,Multi-shelf book storage,solid
cabinet_0,Cabinet,furniture,storage,oak,20.0,1,220,Enclosed shelf with doors,solid
wardrobe_0,Wardrobe,furniture,storage,oak,30.0,1,250,Full-height clothing closet,solid
dresser_0,Dresser,furniture,storage,oak,25.0,1,220,Multi-drawer clothing chest,solid
nightstand_0,Nightstand,furniture,storage,pine,8.0,1,150,Bedside table with drawer,solid
couch_0,Couch,furniture,seating,oak,35.0,1,250,Three-seat upholstered sofa,solid
bench_0,Bench,furniture,seating,pine,10.0,1,200,Backless long seat,solid
stool_0,Stool,furniture,seating,oak,3.0,1,150,Backless single seat,solid
hammock_0,Hammock,furniture,sleeping,cotton,2.0,1,100,Suspended fabric sleeping sling,solid
rug_0,Rug,furniture,decor,wool,3.0,1,120,Floor covering textile,solid
curtain_0,Curtain,furniture,decor,cotton,1.0,3,80,Window covering drape,solid
mirror_0,Mirror,furniture,decor,glass,2.0,1,80,Reflective wall panel,solid
lamp_floor_0,Floor Lamp,furniture,lighting,steel,4.0,1,120,Standing room light,solid
lamp_desk_0,Desk Lamp,furniture,lighting,aluminum,1.5,1,100,Adjustable task light,solid
chandelier_0,Chandelier,furniture,lighting,brass,8.0,1,150,Suspended multi-light fixture,solid
clock_wall_0,Wall Clock,furniture,decor,oak,1.0,1,100,Analog time display,solid
picture_frame_0,Picture Frame,furniture,decor,pine,0.5,5,60,Photo and art display frame,solid
door_wood_0,Wood Door,furniture,structure,oak,15.0,1,250,Hinged room divider,solid
window_frame_0,Window Frame,furniture,structure,pine,8.0,1,200,Glazed wall opening,solid
#
# === FOOD / CONSUMABLES ===
water_bottle_0,Water Bottle,food,drink,hdpe,0.5,10,0,Purified drinking water 500ml,water
ration_basic_0,Basic Ration,food,meal,cotton,0.4,20,0,Vacuum-packed survival meal,solid
bread_0,Bread,food,baked,cotton,0.3,10,0,Baked wheat loaf,solid
jerky_0,Jerky,food,preserved,cotton,0.1,30,0,Dried seasoned meat strip,solid
fruit_apple_0,Apple,food,fruit,plant_fiber,0.2,20,0,Fresh red apple,solid
fruit_banana_0,Banana,food,fruit,plant_fiber,0.15,20,0,Fresh yellow banana,solid
fruit_orange_0,Orange,food,fruit,plant_fiber,0.2,20,0,Fresh citrus orange,solid
fruit_berries_0,Berries,food,fruit,plant_fiber,0.1,30,0,Mixed fresh berry bundle,solid
vegetable_carrot_0,Carrot,food,vegetable,plant_fiber,0.15,20,0,Fresh orange root vegetable,solid
vegetable_potato_0,Potato,food,vegetable,plant_fiber,0.3,20,0,Starchy tuber vegetable,solid
vegetable_onion_0,Onion,food,vegetable,plant_fiber,0.15,20,0,Pungent bulb vegetable,solid
vegetable_tomato_0,Tomato,food,vegetable,plant_fiber,0.2,20,0,Red vine-ripened fruit vegetable,solid
vegetable_corn_0,Corn,food,vegetable,plant_fiber,0.25,20,0,Sweet corn ear,solid
vegetable_lettuce_0,Lettuce,food,vegetable,plant_fiber,0.3,20,0,Leafy green head,solid
vegetable_cabbage_0,Cabbage,food,vegetable,plant_fiber,0.8,10,0,Dense leafy head,solid
rice_0,Rice,food,grain,plant_fiber,0.5,20,0,Dry white rice 500g bag,dry_goods
flour_0,Flour,food,grain,plant_fiber,0.5,20,0,Ground wheat flour 500g bag,dry_goods
sugar_0,Sugar,food,seasoning,plant_fiber,0.5,20,0,Granulated cane sugar 500g,dry_goods
salt_food_0,Salt,food,seasoning,salt,0.5,20,0,Table salt 500g container,dry_goods
cooking_oil_0,Cooking Oil,food,oil,plant_fiber,0.5,10,0,Vegetable cooking oil 500ml,food
butter_0,Butter,food,dairy,plant_fiber,0.25,10,0,Salted butter 250g block,food
cheese_0,Cheese,food,dairy,plant_fiber,0.3,10,0,Aged cheddar wheel portion,food
egg_0,Egg,food,protein,shell,0.06,30,0,Fresh chicken egg,solid
milk_0,Milk,food,dairy,plant_fiber,1.0,5,0,Fresh whole milk 1L,food
coffee_0,Coffee,food,drink,plant_fiber,0.25,20,0,Roasted coffee beans 250g,food
tea_0,Tea,food,drink,plant_fiber,0.1,30,0,Dried tea leaves 100g box,food
juice_0,Juice,food,drink,plant_fiber,0.5,10,0,Fruit juice bottle 500ml,food
canned_food_0,Canned Food,food,preserved,steel,0.4,20,0,Sealed tinned meal,solid
mre_0,MRE,food,preserved,tarp_material,0.5,10,0,Meal ready to eat field ration,solid
protein_bar_0,Protein Bar,food,snack,plant_fiber,0.08,30,0,High-protein nutrition bar,solid
energy_drink_0,Energy Drink,food,drink,aluminum,0.35,20,0,Caffeinated performance beverage,food
dried_fruit_0,Dried Fruit,food,preserved,plant_fiber,0.15,30,0,Dehydrated mixed fruit,solid
dried_meat_0,Dried Meat,food,preserved,plant_fiber,0.1,30,0,Salt-cured preserved meat,solid
honey_0,Honey,food,preserved,glass,0.5,10,0,Natural bee honey jar,food
spice_mix_0,Spice Mix,food,seasoning,plant_fiber,0.05,30,0,Assorted cooking spices,solid
#
# === MEDICAL ===
bandage_0,Bandage,food,medical,cotton,0.05,30,0,Sterile wound dressing strip,solid
medkit_0,Medkit,food,medical,abs_plastic,1.0,5,0,Complete first-aid supply box,solid
painkiller_0,Painkiller,food,medical,abs_plastic,0.02,50,0,Over-the-counter analgesic tablet,solid
antibiotic_0,Antibiotic,food,medical,abs_plastic,0.02,50,0,Broad-spectrum antibiotic dose,solid
antidote_0,Antidote,food,medical,glass,0.1,20,0,General anti-toxin vial,solid
stimulant_0,Stimulant,food,medical,abs_plastic,0.02,30,0,Adrenaline boost injection,solid
vitamins_0,Vitamins,food,medical,abs_plastic,0.05,30,0,Daily multivitamin bottle,solid
splint_0,Splint,food,medical,aluminum,0.2,10,0,Bone fracture immobilizer,solid
antiseptic_0,Antiseptic,food,medical,hdpe,0.1,20,0,Wound disinfectant solution,liquid
surgical_kit_0,Surgical Kit,food,medical,steel,2.0,1,0,Field surgery instrument set,solid
blood_pack_0,Blood Pack,food,medical,pvc,0.5,5,0,Stored blood transfusion unit,solid
#
# === MATERIALS / RESOURCES ===
wood_log_0,Wood Log,material,raw_wood,pine,8.0,10,0,Unprocessed timber round,solid
wood_plank_0,Wood Plank,material,processed_wood,pine,2.5,20,0,Sawn flat lumber board,solid
stone_raw_0,Raw Stone,material,raw_stone,granite,5.0,10,0,Uncut natural rock chunk,solid
stone_brick_0,Stone Brick,material,processed_stone,granite,3.0,20,0,Cut rectangular building block,solid
iron_ore_0,Iron Ore,material,ore,iron,4.5,20,0,Unrefined ferrous mineral,solid
iron_ingot_0,Iron Ingot,material,ingot,iron,3.0,20,0,Smelted iron bar,solid
steel_ingot_0,Steel Ingot,material,ingot,steel,3.5,20,0,Forged steel bar,solid
copper_ore_0,Copper Ore,material,ore,copper,4.2,20,0,Unrefined cupric mineral,solid
nickel_ore_0,Nickel Ore,material,ore,nickel,4.8,20,0,Unrefined nickel mineral,solid
platinum_ore_0,Platinum Ore,material,ore,platinum,8.0,20,0,Unrefined platinum-group mineral,solid
gold_ore_0,Gold Ore,material,ore,gold,7.5,20,0,Gold-bearing mineral rock,solid
silver_ore_0,Silver Ore,material,ore,silver,6.5,20,0,Argentite silver-bearing mineral,solid
bauxite_0,Bauxite,material,ore,aluminum,3.8,20,0,The primary aluminum ore worldwide,solid
rutile_0,Rutile,material,ore,titanium,5.2,20,0,Titanium dioxide mineral and the main titanium ore,solid
nickel_ingot_0,Nickel Ingot,material,ingot,nickel,3.2,20,0,Smelted nickel bar,solid
platinum_ingot_0,Platinum Ingot,material,ingot,platinum,6.5,20,0,Refined platinum bar,solid
stainless_steel_ingot_0,Stainless Steel Ingot,material,ingot,stainless_steel,3.4,20,0,Corrosion-resistant steel alloy bar,solid
copper_ingot_0,Copper Ingot,material,ingot,copper,2.8,20,0,Smelted copper bar,solid
aluminum_ingot_0,Aluminum Ingot,material,ingot,aluminum,1.0,20,0,Smelted aluminum bar,solid
titanium_ingot_0,Titanium Ingot,material,ingot,titanium,2.0,10,0,Smelted titanium bar,solid
gold_ingot_0,Gold Ingot,material,ingot,gold,5.0,10,0,Refined gold bar,solid
silver_ingot_0,Silver Ingot,material,ingot,silver,3.0,10,0,Refined silver bar,solid
coal_0,Coal,material,fuel,charcoal,1.3,30,0,Combustible carbon lump,dry_goods
graphite_0,Graphite,material,fuel,carbon,1.1,30,0,Crystalline carbon from carbonaceous asteroids. Works as a smelting reducing agent like coal,dry_goods
oil_crude_0,Crude Oil,material,fuel,tar,0.9,10,0,Unrefined petroleum barrel,flammable
fuel_refined_0,Refined Fuel,material,fuel,tar,0.8,10,0,Processed combustible liquid,flammable
clay_raw_0,Raw Clay,material,raw_stone,clay,1.8,20,0,Moldable wet mineral earth,dry_goods
sand_0,Sand,material,aggregate,sand,1.6,20,0,Loose silica granules,dry_goods
gravel_0,Gravel,material,aggregate,gravel,1.8,20,0,Coarse crushed rock,dry_goods
cement_0,Cement,material,processed_stone,concrete,2.4,10,0,Portland cement powder bag,dry_goods
concrete_block_0,Concrete Block,material,processed_stone,concrete,12.0,5,0,Cured modular building block,solid
glass_pane_0,Glass Pane,material,processed,glass,2.5,10,0,Flat transparent glass sheet,solid
rope_0,Rope,material,cordage,hemp,0.5,20,0,Braided hemp line 10m,solid
wire_0,Wire,material,electrical,copper,0.3,30,0,Insulated copper wire spool,solid
nail_box_0,Nail Box,material,fastener,steel,0.5,20,0,Box of 100 steel nails,solid
screw_box_0,Screw Box,material,fastener,steel,0.5,20,0,Box of 100 steel screws,solid
bolt_box_0,Bolt Box,material,fastener,steel,0.8,20,0,Box of 50 steel bolts,solid
glue_0,Glue,material,adhesive,epoxy,0.3,20,0,All-purpose adhesive tube,flammable
tape_duct_0,Duct Tape,material,adhesive,tarp_material,0.2,20,0,Reinforced adhesive tape roll,solid
paint_0,Paint,material,finish,acrylic,1.0,10,0,Acrylic paint can 1L,flammable
fertilizer_0,Fertilizer,material,agricultural,plant_fiber,2.0,10,0,Nutrient-rich plant food bag,dry_goods
seed_wheat_0,Wheat Seeds,material,seed,plant_fiber,0.1,50,0,Planting grain seeds packet,dry_goods
seed_corn_0,Corn Seeds,material,seed,plant_fiber,0.1,50,0,Planting maize seeds packet,dry_goods
seed_potato_0,Potato Seeds,material,seed,plant_fiber,0.2,30,0,Seed potato tuber set,dry_goods
seed_tomato_0,Tomato Seeds,material,seed,plant_fiber,0.05,50,0,Planting tomato seeds packet,dry_goods
seed_carrot_0,Carrot Seeds,material,seed,plant_fiber,0.05,50,0,Planting carrot seeds packet,dry_goods
seed_lettuce_0,Lettuce Seeds,material,seed,plant_fiber,0.05,50,0,Planting lettuce seeds packet,dry_goods
seed_rice_0,Rice Seeds,material,seed,plant_fiber,0.1,50,0,Planting paddy rice seeds,dry_goods
seed_bean_0,Bean Seeds,material,seed,plant_fiber,0.1,50,0,Planting bean seeds packet,dry_goods
seed_tree_0,Tree Sapling,material,seed,plant_fiber,0.5,10,0,Young tree for planting,solid
soil_bag_0,Soil Bag,material,agricultural,clay,5.0,5,0,Nutrient-enriched potting soil,dry_goods
water_purified_0,Purified Water,material,liquid,ice,1.0,10,0,Filtered clean water jug,water
ice_block_0,Ice Block,material,frozen,ice,10.0,5,0,Solid frozen water block,solid
fiber_bundle_0,Fiber Bundle,material,raw,plant_fiber,0.5,20,0,Raw plant fiber bundle,solid
rubber_sheet_0,Rubber Sheet,material,processed,rubber,1.0,10,0,Flat vulcanized rubber panel,solid
plastic_sheet_0,Plastic Sheet,material,processed,hdpe,0.5,20,0,Flat polyethylene panel,solid
carbon_fiber_sheet_0,Carbon Fiber Sheet,material,processed,carbon_fiber_mat,0.3,10,0,Woven carbon composite panel,solid
leather_hide_0,Leather Hide,material,raw,leather,2.0,5,0,Tanned animal skin piece,solid
cloth_bolt_0,Cloth Bolt,material,processed,cotton,1.0,10,0,Rolled cotton fabric length,solid
#
# === MACHINES / APPLIANCES ===
generator_portable_0,Portable Generator,machine,power,steel,25.0,1,300,Gasoline electric generator 2kW,solid
solar_panel_0,Solar Panel,machine,power,glass,12.0,1,250,Photovoltaic electricity panel,solid
wind_turbine_small_0,Small Wind Turbine,machine,power,aluminum,20.0,1,300,Rooftop wind generator 1kW,solid
water_pump_0,Water Pump,machine,fluid,steel,8.0,1,200,Electric water extraction pump,solid
air_filter_unit_0,Air Filter Unit,machine,climate,steel,5.0,1,150,Powered air purification system,solid
heater_0,Heater,machine,climate,steel,10.0,1,200,Electric space heater,solid
cooler_0,Cooler,machine,climate,aluminum,8.0,1,200,Evaporative air cooler unit,solid
stove_0,Stove,machine,cooking,steel,20.0,1,300,Four-burner cooking range,solid
oven_0,Oven,machine,cooking,steel,30.0,1,350,Enclosed baking and roasting chamber,solid
fridge_0,Fridge,machine,storage,steel,40.0,1,300,Refrigerated food storage unit,solid
washing_machine_0,Washing Machine,machine,textile,steel,35.0,1,250,Automatic clothing laundry,solid
sewing_machine_0,Sewing Machine,machine,textile,steel,8.0,1,200,Electric fabric stitching machine,solid
loom_0,Loom,machine,textile,oak,25.0,1,250,Frame-based fabric weaving device,solid
kiln_0,Kiln,machine,processing,brick,50.0,1,400,High-temperature ceramic firing oven,solid
forge_0,Forge,machine,processing,brick,60.0,1,400,Metal-heating blacksmith furnace,solid
workbench_0,Workbench,machine,crafting,oak,20.0,1,300,General-purpose crafting station,solid
anvil_station_0,Anvil Station,machine,crafting,steel,40.0,1,500,Mounted metalworking anvil,solid
electronics_bench_0,Electronics Bench,machine,crafting,pine,15.0,1,200,Circuit assembly workstation,solid
chemistry_set_0,Chemistry Set,machine,crafting,glass,5.0,1,150,Laboratory reaction apparatus,solid
microscope_0,Microscope,machine,science,steel,3.0,1,150,Optical magnification instrument,solid
telescope_0,Telescope,machine,science,aluminum,5.0,1,150,Celestial observation instrument,solid
radio_0,Radio,machine,communication,abs_plastic,1.5,1,120,Two-way voice transceiver,solid
computer_terminal_0,Computer Terminal,machine,computing,aluminum,8.0,1,200,Networked computing workstation,solid
printer_3d_0,3D Printer,machine,fabrication,steel,15.0,1,200,Additive manufacturing device,solid
sawmill_0,Sawmill,machine,processing,steel,80.0,1,400,Powered lumber cutting station,solid
smelter_0,Smelter,machine,processing,brick,70.0,1,400,Ore-to-ingot melting furnace,solid
grain_mill_0,Grain Mill,machine,processing,granite,30.0,1,300,Seed-to-flour grinding mill,solid
water_purifier_0,Water Purifier,machine,fluid,steel,10.0,1,200,Filtration water treatment unit,solid
fuel_refinery_0,Fuel Refinery,machine,processing,steel,100.0,1,500,Crude oil distillation unit,solid
battery_bank_0,Battery Bank,machine,power,steel,50.0,1,300,Large-scale energy storage array,solid
composter_0,Composter,machine,agricultural,oak,10.0,1,150,Organic waste decomposition bin,solid
greenhouse_0,Greenhouse,machine,agricultural,glass,30.0,1,300,Climate-controlled growing enclosure,solid
irrigation_system_0,Irrigation System,machine,agricultural,pvc,15.0,1,200,Automated crop watering network,solid
#
# === VEHICLES / TRANSPORT ===
bicycle_0,Bicycle,vehicle,human_powered,steel,12.0,1,250,Two-wheel pedal vehicle,solid
cart_hand_0,Hand Cart,vehicle,human_powered,steel,15.0,1,200,Two-wheel push cargo carrier,solid
cart_horse_0,Horse Cart,vehicle,animal_powered,oak,80.0,1,300,Four-wheel draft animal wagon,solid
motorcycle_0,Motorcycle,vehicle,motorized,steel,180.0,1,400,Two-wheel combustion engine cycle,solid
car_sedan_0,Sedan,vehicle,motorized,steel,1400.0,1,500,Four-door passenger automobile,solid
truck_pickup_0,Pickup Truck,vehicle,motorized,steel,2000.0,1,500,Open-bed utility truck,solid
truck_cargo_0,Cargo Truck,vehicle,motorized,steel,5000.0,1,600,Enclosed freight hauler,solid
bus_0,Bus,vehicle,motorized,steel,8000.0,1,600,Multi-passenger transit vehicle,solid
tractor_0,Tractor,vehicle,motorized,steel,3000.0,1,500,Agricultural power vehicle,solid
excavator_0,Excavator,vehicle,motorized,steel,6000.0,1,600,Hydraulic earth-moving machine,solid
boat_rowboat_0,Rowboat,vehicle,watercraft,pine,40.0,1,250,Oar-driven small boat,solid
boat_sailboat_0,Sailboat,vehicle,watercraft,pine,200.0,1,350,Wind-powered sailing vessel,solid
