# HumanityOS Crafting Recipes
# Defines all craftable items, their ingredients, requirements, and outputs
#
# Column definitions:
#   id                  - Unique recipe identifier
#   name                - Display name
#   category            - Recipe category: smelting, refining, crafting, cooking, construction, electronics, assembly, textile, chemistry
#   inputs              - Required inputs (item_id:quantity pairs, pipe-separated)
#   outputs             - Outputs (item_id:quantity pairs, pipe-separated)
#   craft_time_sec      - Time in seconds to complete crafting
#   station_required    - Required crafting station (empty = hand-craftable)
#   skill_required      - Required skill name (empty = no skill needed)
#   skill_level         - Minimum skill level required (0 = none)
#   description         - Short description of what this recipe produces
#
# === SMELTING (ores to ingots) ===
id,name,category,inputs,outputs,craft_time_sec,station_required,skill_required,skill_level,description
tan_leather,Tan Leather,refining,leather_hide_0:1|salt_food_0:1,leather_hide_0:2,20,workbench_0,crafting,2,Cure raw hide into usable leather
make_cement,Mix Cement,refining,stone_raw_0:2|clay_raw_0:1|sand_0:1,cement_0:2,10,,construction,1,Blend mineral powder for concrete
make_concrete,Pour Concrete,refining,cement_0:2|gravel_0:2|water_purified_0:1,concrete_block_0:2,15,,construction,2,Mix and cure concrete blocks
make_plastic,Mold Plastic Sheet,refining,oil_crude_0:1,plastic_sheet_0:3,12,fuel_refinery_0,engineering,2,Polymerize crude oil into HDPE sheet
weave_cloth,Weave Cloth,refining,fiber_bundle_0:4,cloth_bolt_0:1,15,loom_0,textile,1,Weave raw fiber into cotton fabric
spin_thread,Spin Thread,refining,fiber_bundle_0:2,cloth_bolt_0:1,20,,textile,1,Hand-spin fiber into thread and fabric
make_glue,Make Glue,refining,bone:3|water_purified_0:1,glue_0:2,10,stove_0,,0,Boil bones into adhesive glue
make_paint,Make Paint,refining,oil_crude_0:1|clay_raw_0:1,paint_0:2,8,chemistry_set_0,,0,Mix pigment with binder for paint
#
# === TOOL CRAFTING ===
craft_hammer,Craft Hammer,crafting,iron_ingot_0:1|wood_plank_0:1,hammer_0:1,10,workbench_0,smithing,1,Forge a claw hammer
craft_screwdriver_flat,Craft Flat Screwdriver,crafting,iron_ingot_0:1|wood_plank_0:1,screwdriver_flat_0:1,8,workbench_0,smithing,1,Forge a slotted screwdriver
craft_screwdriver_phillips,Craft Phillips Screwdriver,crafting,iron_ingot_0:1|wood_plank_0:1,screwdriver_phillips_0:1,8,workbench_0,smithing,1,Forge a cross-head screwdriver
craft_wrench,Craft Wrench,crafting,steel_ingot_0:1,wrench_adjustable_0:1,12,forge_0,smithing,2,Forge an adjustable wrench
craft_pliers,Craft Pliers,crafting,steel_ingot_0:1,pliers_0:1,10,forge_0,smithing,2,Forge a pair of pliers
craft_saw_hand,Craft Hand Saw,crafting,steel_ingot_0:1|wood_plank_0:1,saw_hand_0:1,12,forge_0,smithing,2,Forge and set a hand saw blade
craft_axe,Craft Axe,crafting,iron_ingot_0:2|wood_plank_0:1,axe_0:1,15,forge_0,smithing,2,Forge an axe head and haft it
craft_hatchet,Craft Hatchet,crafting,iron_ingot_0:1|wood_plank_0:1,hatchet_0:1,10,forge_0,smithing,1,Forge a compact chopping hatchet
craft_pickaxe,Craft Pickaxe,crafting,iron_ingot_0:2|wood_plank_0:1,pickaxe_0:1,15,forge_0,smithing,2,Forge a pointed mining pick
craft_shovel,Craft Shovel,crafting,iron_ingot_0:1|wood_plank_0:2,shovel_0:1,12,forge_0,smithing,1,Forge a flat digging blade
craft_hoe,Craft Hoe,crafting,iron_ingot_0:1|wood_plank_0:2,hoe_0:1,10,forge_0,smithing,1,Forge a soil cultivation hoe
craft_chisel,Craft Chisel,crafting,steel_ingot_0:1,chisel_0:1,8,forge_0,smithing,2,Forge a flat-edge chisel
craft_crowbar,Craft Crowbar,crafting,steel_ingot_0:2,crowbar_0:1,10,forge_0,smithing,2,Forge a heavy prying bar
craft_knife_utility,Craft Utility Knife,crafting,steel_ingot_0:1|wood_plank_0:1,knife_utility_0:1,10,forge_0,smithing,1,Forge a folding knife
craft_trowel,Craft Trowel,crafting,iron_ingot_0:1|wood_plank_0:1,trowel_0:1,8,forge_0,smithing,1,Forge a flat masonry trowel
craft_rake,Craft Rake,crafting,iron_ingot_0:1|wood_plank_0:2,rake_0:1,10,forge_0,smithing,1,Forge tines and mount on handle
craft_scythe,Craft Scythe,crafting,steel_ingot_0:2|wood_plank_0:2,scythe_0:1,15,forge_0,smithing,3,Forge a curved harvesting blade
craft_anvil,Craft Anvil,crafting,steel_ingot_0:10,anvil_0:1,60,forge_0,smithing,4,Forge a heavy work anvil
craft_vise,Craft Vise,crafting,steel_ingot_0:3|bolt_box_0:1,vise_0:1,20,forge_0,smithing,3,Assemble a bench clamping vise
craft_clamp,Craft Clamp,crafting,steel_ingot_0:1|bolt_box_0:1,clamp_0:2,10,workbench_0,smithing,1,Forge adjustable workpiece clamps
craft_file,Craft Metal File,crafting,steel_ingot_0:1,file_metal_0:1,10,forge_0,smithing,2,Cut abrasive grooves into a steel bar
craft_bolt_cutter,Craft Bolt Cutter,crafting,steel_ingot_0:2|bolt_box_0:1,bolt_cutter_0:1,15,forge_0,smithing,3,Forge heavy shearing jaws
craft_pipe_wrench,Craft Pipe Wrench,crafting,steel_ingot_0:2,pipe_wrench_0:1,12,forge_0,smithing,2,Forge a serrated-jaw wrench
craft_pruning_shears,Craft Pruning Shears,crafting,steel_ingot_0:1,pruning_shears_0:1,10,forge_0,smithing,2,Forge spring-loaded branch cutters
#
# === WEAPON CRAFTING ===
craft_knife_combat,Craft Combat Knife,crafting,steel_ingot_0:1|leather_hide_0:1,knife_combat_0:1,15,forge_0,smithing,2,Forge a fixed-blade fighting knife
craft_sword,Craft Sword,crafting,steel_ingot_0:3|leather_hide_0:1,sword_0:1,30,forge_0,smithing,4,Forge and temper a steel sword
craft_spear,Craft Spear,crafting,steel_ingot_0:1|wood_plank_0:2,spear_0:1,12,forge_0,smithing,2,Forge a spearhead and mount on shaft
craft_mace,Craft Mace,crafting,steel_ingot_0:2|wood_plank_0:1,mace_0:1,20,forge_0,smithing,3,Forge a flanged striking head
craft_bow_recurve,Craft Recurve Bow,crafting,wood_plank_0:3|rope_0:1,bow_recurve_0:1,20,workbench_0,crafting,2,Laminate and string a curved bow
craft_bow_compound,Craft Compound Bow,crafting,aluminum_ingot_0:2|rope_0:1|bolt_box_0:1,bow_compound_0:1,30,workbench_0,crafting,4,Assemble a cam-levered bow
craft_crossbow,Craft Crossbow,crafting,steel_ingot_0:2|wood_plank_0:2|rope_0:1,crossbow_0:1,30,workbench_0,crafting,3,Assemble a trigger-release crossbow
craft_sling,Craft Sling,crafting,leather_hide_0:1|rope_0:1,sling_0:1,5,,crafting,1,Cut and tie a leather sling pouch
craft_staff,Craft Staff,crafting,wood_plank_0:3,staff_0:1,8,,crafting,1,Carve and smooth a hardwood staff
craft_shield_round,Craft Round Shield,crafting,steel_ingot_0:2|leather_hide_0:1,shield_round_0:1,25,forge_0,smithing,3,Hammer and rivet a circular shield
craft_shield_tower,Craft Tower Shield,crafting,steel_ingot_0:4|leather_hide_0:2,shield_tower_0:1,40,forge_0,smithing,4,Construct a full-body standing shield
craft_arrow,Craft Arrows,crafting,wood_plank_0:1|iron_ingot_0:1,arrow_0:20,10,workbench_0,crafting,1,Whittle shafts and forge broadheads
craft_bolt_crossbow,Craft Crossbow Bolts,crafting,wood_plank_0:1|steel_ingot_0:1,bolt_crossbow_0:15,10,workbench_0,crafting,2,Forge short heavy bolts
craft_quiver,Craft Quiver,crafting,leather_hide_0:2,quiver_0:1,10,workbench_0,crafting,1,Stitch a back-mounted arrow holder
craft_holster,Craft Gun Holster,crafting,leather_hide_0:2,gun_holster_0:1,10,workbench_0,crafting,2,Stitch a belt-mounted holster
craft_ammo_pouch,Craft Ammo Pouch,crafting,cloth_bolt_0:1|leather_hide_0:1,ammo_pouch_0:1,8,workbench_0,crafting,1,Sew a belt cartridge carrier
#
# === FURNITURE CONSTRUCTION ===
build_chair,Build Chair,construction,wood_plank_0:4|nail_box_0:1,chair_0:1,15,workbench_0,construction,1,Assemble a four-leg wooden chair
build_table_dining,Build Dining Table,construction,wood_plank_0:8|nail_box_0:2,table_dining_0:1,30,workbench_0,construction,2,Assemble a six-seat table
build_table_work,Build Work Table,construction,wood_plank_0:6|nail_box_0:2|bolt_box_0:1,table_work_0:1,25,workbench_0,construction,2,Assemble a reinforced work table
build_desk,Build Desk,construction,wood_plank_0:6|nail_box_0:2,desk_0:1,25,workbench_0,construction,2,Assemble a writing desk
build_bed_single,Build Single Bed,construction,wood_plank_0:8|nail_box_0:2|cloth_bolt_0:2,bed_single_0:1,30,workbench_0,construction,2,Assemble a single sleeping frame
build_bed_double,Build Double Bed,construction,wood_plank_0:12|nail_box_0:3|cloth_bolt_0:4,bed_double_0:1,45,workbench_0,construction,3,Assemble a double sleeping frame
build_bunk_bed,Build Bunk Bed,construction,wood_plank_0:10|nail_box_0:3|bolt_box_0:2,bunk_bed_0:1,40,workbench_0,construction,3,Assemble a stacked two-tier bed
build_shelf,Build Shelf,construction,wood_plank_0:2|nail_box_0:1,shelf_0:1,8,workbench_0,construction,1,Mount a wall shelf with brackets
build_bookcase,Build Bookcase,construction,wood_plank_0:6|nail_box_0:2,bookcase_0:1,20,workbench_0,construction,2,Assemble a multi-shelf bookcase
build_cabinet,Build Cabinet,construction,wood_plank_0:8|nail_box_0:2,cabinet_0:1,25,workbench_0,construction,2,Assemble an enclosed shelf cabinet
build_wardrobe,Build Wardrobe,construction,wood_plank_0:10|nail_box_0:3,wardrobe_0:1,35,workbench_0,construction,3,Assemble a full-height wardrobe
build_dresser,Build Dresser,construction,wood_plank_0:8|nail_box_0:2,dresser_0:1,30,workbench_0,construction,2,Assemble a multi-drawer dresser
build_nightstand,Build Nightstand,construction,wood_plank_0:3|nail_box_0:1,nightstand_0:1,12,workbench_0,construction,1,Assemble a bedside table
build_couch,Build Couch,construction,wood_plank_0:8|cloth_bolt_0:4|nail_box_0:2,couch_0:1,40,workbench_0,construction,3,Upholster a three-seat sofa frame
build_bench,Build Bench,construction,wood_plank_0:4|nail_box_0:1,bench_0:1,12,workbench_0,construction,1,Assemble a backless long seat
build_stool,Build Stool,construction,wood_plank_0:2|nail_box_0:1,stool_0:1,8,workbench_0,construction,1,Assemble a simple round stool
build_door,Build Door,construction,wood_plank_0:4|nail_box_0:1,door_wood_0:1,15,workbench_0,construction,1,Assemble a hinged wood door
build_window,Build Window Frame,construction,wood_plank_0:3|glass_pane_0:1,window_frame_0:1,15,workbench_0,construction,2,Frame glass into a window
build_hammock,Craft Hammock,construction,cloth_bolt_0:3|rope_0:2,hammock_0:1,10,,crafting,1,Sew and tie a fabric hammock
build_rug,Weave Rug,textile,cloth_bolt_0:4,rug_0:1,20,loom_0,textile,2,Weave a decorative floor covering
build_curtain,Sew Curtain,textile,cloth_bolt_0:2,curtain_0:2,10,sewing_machine_0,textile,1,Stitch window covering drapes
build_chest,Build Chest,construction,wood_plank_0:6|nail_box_0:2,chest_wood_0:1,20,workbench_0,construction,2,Assemble a lidded storage chest
build_crate,Build Crate,construction,wood_plank_0:4|nail_box_0:1,crate_0:2,10,workbench_0,construction,1,Nail together a shipping crate
build_barrel,Build Barrel,construction,wood_plank_0:6|steel_ingot_0:1,barrel_0:1,20,workbench_0,construction,2,Cooperage of a staved barrel
build_picture_frame,Craft Picture Frame,construction,wood_plank_0:1|glass_pane_0:1,picture_frame_0:2,8,workbench_0,crafting,1,Assemble a simple picture frame
#
# === COOKING ===
cook_bread,Bake Bread,cooking,flour_0:2|water_purified_0:1|salt_food_0:1,bread_0:3,10,oven_0,cooking,1,Knead and bake wheat bread loaves
cook_jerky,Make Jerky,cooking,dried_meat_0:2|salt_food_0:1|spice_mix_0:1,jerky_0:4,15,stove_0,cooking,1,Season and dry cure meat strips
cook_canned_food,Can Food,cooking,vegetable_potato_0:2|vegetable_carrot_0:2|salt_food_0:1,canned_food_0:3,15,stove_0,cooking,2,Pressure-seal preserved meals
cook_mre,Pack MRE,cooking,bread_0:1|jerky_0:2|protein_bar_0:1,mre_0:2,10,,cooking,2,Vacuum-pack field rations
cook_protein_bar,Make Protein Bar,cooking,flour_0:1|egg_0:2|honey_0:1,protein_bar_0:4,8,oven_0,cooking,1,Bake high-protein nutrition bars
cook_soup,Cook Soup,cooking,vegetable_potato_0:2|vegetable_carrot_0:1|water_purified_0:1|salt_food_0:1,canned_food_0:2,10,stove_0,cooking,1,Simmer a hearty vegetable soup
cook_stew,Cook Stew,cooking,vegetable_potato_0:2|vegetable_onion_0:1|jerky_0:1|water_purified_0:1,canned_food_0:3,15,stove_0,cooking,2,Slow-cook a thick meat stew
cook_fried_egg,Fry Egg,cooking,egg_0:2|cooking_oil_0:1,bread_0:1,3,stove_0,,0,Fry eggs for a quick meal
cook_pancake,Make Pancakes,cooking,flour_0:1|egg_0:2|milk_0:1,bread_0:3,8,stove_0,cooking,1,Mix batter and griddle pancakes
cook_cheese,Make Cheese,cooking,milk_0:4|salt_food_0:1,cheese_0:2,30,stove_0,cooking,3,Culture and press milk into cheese
cook_butter,Churn Butter,cooking,milk_0:3,butter_0:2,15,,cooking,1,Agitate cream into solid butter
cook_dried_fruit,Dry Fruit,cooking,fruit_apple_0:3|fruit_banana_0:2,dried_fruit_0:4,20,oven_0,,0,Dehydrate fruit for preservation
cook_dried_meat,Dry Meat,cooking,jerky_0:3|salt_food_0:1,dried_meat_0:4,20,stove_0,cooking,1,Salt and air-dry meat strips
cook_juice,Press Juice,cooking,fruit_apple_0:4,juice_0:2,8,,cooking,1,Squeeze fresh fruit into juice
cook_coffee,Brew Coffee,cooking,coffee_0:1|water_purified_0:1,energy_drink_0:2,5,stove_0,,0,Brew hot coffee from roasted beans
cook_sugar,Refine Sugar,cooking,vegetable_corn_0:4,sugar_0:2,15,stove_0,cooking,2,Extract and crystallize plant sugar
cook_oil,Press Oil,cooking,seed_corn_0:5,cooking_oil_0:2,15,,cooking,2,Cold-press seeds into cooking oil
cook_honey,Harvest Honey,cooking,water_purified_0:1,honey_0:1,5,,farming,2,Collect and filter raw honey
cook_spice,Blend Spices,cooking,seed_wheat_0:2|salt_food_0:1,spice_mix_0:3,5,,cooking,1,Grind and mix seasoning blend
#
# === CLOTHING / TEXTILE ===
sew_tshirt,Sew T-Shirt,textile,cloth_bolt_0:2,t_shirt_0:1,10,sewing_machine_0,textile,1,Cut and stitch a cotton t-shirt
sew_long_sleeve,Sew Long Sleeve,textile,cloth_bolt_0:3,long_sleeve_0:1,12,sewing_machine_0,textile,1,Cut and stitch a long-sleeve shirt
sew_hoodie,Sew Hoodie,textile,cloth_bolt_0:4|rope_0:1,hoodie_0:1,15,sewing_machine_0,textile,2,Construct a hooded sweatshirt
sew_pants,Sew Pants,textile,cloth_bolt_0:3,pants_0:1,12,sewing_machine_0,textile,1,Cut and stitch full-length trousers
sew_shorts,Sew Shorts,textile,cloth_bolt_0:2,shorts_0:1,8,sewing_machine_0,textile,1,Cut and stitch knee-length shorts
sew_dress,Sew Dress,textile,cloth_bolt_0:3,dress_0:1,15,sewing_machine_0,textile,2,Pattern and stitch a one-piece dress
sew_overalls,Sew Overalls,textile,cloth_bolt_0:4|bolt_box_0:1,overalls_0:1,18,sewing_machine_0,textile,2,Construct bib-and-brace overalls
sew_underwear,Sew Underwear,textile,cloth_bolt_0:1,underwear_0:3,5,sewing_machine_0,textile,1,Cut and stitch basic undergarments
sew_socks,Sew Socks,textile,cloth_bolt_0:1,socks_0:4,5,sewing_machine_0,textile,1,Knit ankle-height foot coverings
sew_backpack_small,Sew Small Backpack,textile,cloth_bolt_0:3|rope_0:1,backpack_small_0:1,15,sewing_machine_0,textile,2,Construct a 20L day rucksack
sew_backpack_large,Sew Large Backpack,textile,cloth_bolt_0:5|rope_0:2|bolt_box_0:1,backpack_large_0:1,25,sewing_machine_0,textile,3,Construct a 60L expedition rucksack
sew_apron,Sew Apron,textile,cloth_bolt_0:2,apron_0:1,8,sewing_machine_0,textile,1,Stitch a front-body work apron
sew_scarf,Sew Scarf,textile,cloth_bolt_0:1,scarf_0:2,5,sewing_machine_0,textile,1,Cut and hem a neck wrap
sew_vest,Sew Vest,textile,cloth_bolt_0:2,vest_0:1,8,sewing_machine_0,textile,1,Cut and stitch a sleeveless top
sew_skirt,Sew Skirt,textile,cloth_bolt_0:2,skirt_0:1,8,sewing_machine_0,textile,1,Pattern and stitch a simple skirt
sew_jumpsuit,Sew Jumpsuit,textile,cloth_bolt_0:5,jumpsuit_0:1,20,sewing_machine_0,textile,2,Construct a one-piece utility suit
sew_coveralls,Sew Coveralls,textile,cloth_bolt_0:4,coveralls_0:1,18,sewing_machine_0,textile,2,Stitch full-body mechanic coveralls
sew_poncho,Sew Poncho,textile,cloth_bolt_0:2|rubber_sheet_0:1,poncho_0:1,10,sewing_machine_0,textile,1,Waterproof a sleeveless rain cover
sew_hat_beanie,Knit Beanie,textile,cloth_bolt_0:1,hat_beanie_0:2,5,sewing_machine_0,textile,1,Knit a cold-weather cap
sew_gloves_work,Sew Work Gloves,textile,leather_hide_0:1,gloves_work_0:1,10,sewing_machine_0,textile,2,Cut and stitch reinforced gloves
sew_gloves_winter,Sew Winter Gloves,textile,cloth_bolt_0:1|leather_hide_0:1,gloves_winter_0:1,10,sewing_machine_0,textile,2,Insulate and stitch warm gloves
sew_belt,Craft Belt,textile,leather_hide_0:1,belt_0:2,8,workbench_0,crafting,1,Cut and buckle a leather belt
craft_boots_work,Craft Work Boots,textile,leather_hide_0:2|rubber_sheet_0:1|steel_ingot_0:1,boots_work_0:1,25,workbench_0,crafting,3,Cobble steel-toe protective boots
craft_boots_hiking,Craft Hiking Boots,textile,leather_hide_0:2|rubber_sheet_0:1,boots_hiking_0:1,20,workbench_0,crafting,2,Cobble ankle-support trail boots
craft_shoes,Craft Casual Shoes,textile,leather_hide_0:1|rubber_sheet_0:1,shoes_casual_0:1,15,workbench_0,crafting,2,Cobble everyday walking shoes
craft_sandals,Craft Sandals,textile,rubber_sheet_0:1|rope_0:1,sandals_0:1,8,,crafting,1,Shape rubber sole open-toe footwear
sew_raincoat,Sew Raincoat,textile,cloth_bolt_0:2|rubber_sheet_0:2,raincoat_0:1,15,sewing_machine_0,textile,2,Laminate waterproof full-length coat
sew_wetsuit,Sew Wetsuit,textile,rubber_sheet_0:4|cloth_bolt_0:1,wetsuit_0:1,25,sewing_machine_0,textile,3,Construct a neoprene thermal suit
craft_helmet_hard,Mold Hard Hat,crafting,plastic_sheet_0:2,helmet_hard_0:1,10,workbench_0,crafting,2,Thermoform an impact safety helmet
craft_goggles,Craft Safety Goggles,crafting,plastic_sheet_0:1|rubber_sheet_0:1,goggles_safety_0:1,8,workbench_0,crafting,1,Mold splash-proof eye guards
craft_hat_baseball,Sew Baseball Cap,textile,cloth_bolt_0:1,hat_baseball_0:2,5,sewing_machine_0,textile,1,Stitch a brimmed casual cap
#
# === BUILDING COMPONENTS ===
craft_nails,Forge Nails,crafting,iron_ingot_0:1,nail_box_0:4,8,forge_0,smithing,1,Cut and point a box of wire nails
craft_screws,Forge Screws,crafting,steel_ingot_0:1,screw_box_0:3,10,forge_0,smithing,2,Thread and slot steel screws
craft_bolts,Forge Bolts,crafting,steel_ingot_0:1,bolt_box_0:2,10,forge_0,smithing,2,Thread and hex-head steel bolts
craft_tape_duct,Make Duct Tape,crafting,cloth_bolt_0:1|rubber_sheet_0:1|glue_0:1,tape_duct_0:3,8,workbench_0,crafting,1,Laminate adhesive reinforced tape
craft_sandpaper,Make Sandpaper,crafting,sand_0:1|glue_0:1,sandpaper_0:10,5,workbench_0,,0,Bond grit to paper backing
#
# === ELECTRONICS ASSEMBLY ===
assemble_circuit_board,Assemble Circuit Board,electronics,wire_0:3|copper_ingot_0:1|plastic_sheet_0:1,wire_0:1,20,electronics_bench_0,engineering,2,Etch and populate a printed circuit board
assemble_battery_pack,Assemble Battery Pack,electronics,wire_0:2|copper_ingot_0:1|plastic_sheet_0:1,battery_pack_0:2,15,electronics_bench_0,engineering,2,Wire cells into a rechargeable pack
assemble_solar_charger,Build Solar Charger,electronics,glass_pane_0:1|wire_0:2|plastic_sheet_0:1,solar_charger_0:1,20,electronics_bench_0,engineering,3,Wire a portable PV charging panel
assemble_flashlight,Build Flashlight,electronics,aluminum_ingot_0:1|wire_0:1|glass_pane_0:1,flashlight_0:1,10,workbench_0,crafting,1,Assemble an LED handheld torch
assemble_lantern,Build Lantern,electronics,steel_ingot_0:1|wire_0:1|glass_pane_0:1,lantern_0:1,12,workbench_0,crafting,1,Assemble a portable area light
assemble_radio,Build Radio,electronics,wire_0:3|copper_ingot_0:1|plastic_sheet_0:2,radio_0:1,30,electronics_bench_0,engineering,3,Assemble a two-way transceiver
assemble_walkie_talkie,Build Walkie Talkie,electronics,wire_0:2|copper_ingot_0:1|plastic_sheet_0:1,walkie_talkie_0:1,20,electronics_bench_0,engineering,2,Assemble a short-range voice radio
assemble_multimeter,Build Multimeter,electronics,wire_0:2|copper_ingot_0:1|plastic_sheet_0:1,multimeter_0:1,15,electronics_bench_0,engineering,2,Assemble an electrical test meter
assemble_smoke_detector,Build Smoke Detector,electronics,wire_0:1|plastic_sheet_0:1|battery_pack_0:1,smoke_detector_0:1,10,electronics_bench_0,engineering,1,Wire a particle fire alarm
assemble_motion_light,Build Motion Light,electronics,wire_0:2|plastic_sheet_0:1|glass_pane_0:1,motion_light_0:1,15,electronics_bench_0,engineering,2,Wire a PIR-activated light
assemble_gps,Build GPS Device,electronics,wire_0:2|plastic_sheet_0:2|copper_ingot_0:1,gps_device_0:1,25,electronics_bench_0,engineering,3,Assemble a satellite positioning unit
assemble_camera,Build Camera,electronics,glass_pane_0:1|wire_0:2|plastic_sheet_0:1|aluminum_ingot_0:1,camera_0:1,25,electronics_bench_0,engineering,3,Assemble a digital photography device
assemble_computer,Build Computer Terminal,electronics,wire_0:5|glass_pane_0:1|plastic_sheet_0:3|copper_ingot_0:2,computer_terminal_0:1,60,electronics_bench_0,engineering,4,Assemble a networked computing terminal
assemble_geiger,Build Geiger Counter,electronics,wire_0:2|aluminum_ingot_0:1|plastic_sheet_0:1,geiger_counter_0:1,20,electronics_bench_0,engineering,3,Assemble an ionizing radiation detector
assemble_water_tester,Build Water Tester,electronics,wire_0:1|plastic_sheet_0:1,water_tester_0:1,10,electronics_bench_0,engineering,1,Assemble a water quality probe
#
# === MACHINE ASSEMBLY ===
build_workbench,Build Workbench,assembly,wood_plank_0:8|bolt_box_0:2|steel_ingot_0:2,workbench_0:1,30,,construction,2,Assemble a general crafting station
build_forge,Build Forge,assembly,stone_brick_0:10|iron_ingot_0:4|coal_0:5,forge_0:1,60,,construction,3,Construct a metal-heating furnace
build_smelter,Build Smelter,assembly,stone_brick_0:8|iron_ingot_0:3|coal_0:3,smelter_0:1,50,,construction,3,Construct an ore-melting furnace
build_kiln,Build Kiln,assembly,stone_brick_0:12|clay_raw_0:4,kiln_0:1,60,,construction,3,Construct a high-temperature kiln
build_anvil_station,Build Anvil Station,assembly,anvil_0:1|wood_plank_0:4|bolt_box_0:1,anvil_station_0:1,20,workbench_0,construction,2,Mount anvil on a stable platform
build_electronics_bench,Build Electronics Bench,assembly,wood_plank_0:6|wire_0:5|nail_box_0:2,electronics_bench_0:1,25,workbench_0,construction,2,Set up a circuit assembly station
build_sewing_machine,Build Sewing Machine,assembly,steel_ingot_0:3|wire_0:2|wood_plank_0:2,sewing_machine_0:1,30,workbench_0,engineering,2,Assemble an electric sewing machine
build_loom,Build Loom,assembly,wood_plank_0:10|rope_0:3|nail_box_0:2,loom_0:1,40,workbench_0,construction,2,Assemble a frame-based loom
build_stove,Build Stove,assembly,steel_ingot_0:4|wire_0:2|copper_ingot_0:1,stove_0:1,30,workbench_0,construction,2,Assemble a four-burner range
build_oven,Build Oven,assembly,steel_ingot_0:5|stone_brick_0:4|wire_0:2,oven_0:1,40,workbench_0,construction,3,Construct an enclosed baking oven
build_fridge,Build Fridge,assembly,steel_ingot_0:4|wire_0:3|copper_ingot_0:2|rubber_sheet_0:1,fridge_0:1,50,workbench_0,engineering,3,Assemble a refrigerated storage unit
