# HumanityOS Components Database
# Intermediate parts used to assemble machines, vehicles, and complex items
#
# Column definitions:
#   id                  - Unique component identifier (snake_case)
#   name                - Display name
#   category            - Component category: mechanical, electrical, engine, structural, electronics, fluid
#   materials_required  - Pipe-separated material_id:quantity pairs (quantity in units)
#   weight_kg           - Assembled weight in kilograms
#   power_watts         - Power draw (positive) or output (negative), 0 if passive
#   description         - Short description
#
# === MECHANICAL ===
id,name,category,materials_required,weight_kg,power_watts,description
battery_medium,Medium Battery,electrical,zinc:0.1|manganese:0.1|steel:0.05,0.2,-25,Multi-cell rechargeable pack
battery_large,Large Battery,electrical,zinc:0.5|manganese:0.5|steel:0.3,1.0,-100,High-capacity power module
solar_cell,Solar Cell,electrical,silicon:0.2|glass:0.3|aluminum:0.1,0.5,-50,Photovoltaic electricity panel
generator_small,Small Generator,electrical,copper:2.0|iron:3.0|steel:1.5,6.0,-500,Rotary electric generator
electric_motor_small,Small Electric Motor,electrical,copper:0.5|iron:0.3|steel:0.2,0.8,100,Compact rotary actuator
electric_motor_medium,Medium Electric Motor,electrical,copper:1.5|iron:1.0|steel:0.8,3.0,500,Mid-range rotary actuator
electric_motor_large,Large Electric Motor,electrical,copper:4.0|iron:3.0|steel:2.0,8.0,2000,High-power rotary actuator
inverter,Inverter,electrical,copper:0.3|aluminum:0.2|abs_plastic:0.1,0.5,10,DC-to-AC power converter
voltage_regulator,Voltage Regulator,electrical,copper:0.05|abs_plastic:0.03,0.06,1,Stable output voltage controller
#
# === ENGINES / POWER ===
combustion_engine_small,Small Combustion Engine,engine,steel:8.0|aluminum:3.0|rubber:0.5,10.0,3000,Compact gasoline engine
combustion_engine_medium,Medium Combustion Engine,engine,steel:20.0|aluminum:8.0|rubber:1.0,25.0,15000,Standard vehicle engine
combustion_engine_large,Large Combustion Engine,engine,steel:50.0|aluminum:15.0|rubber:2.0,60.0,50000,Heavy-duty truck engine
diesel_engine,Diesel Engine,engine,steel:35.0|aluminum:10.0|rubber:1.5,40.0,25000,Compression-ignition engine
turbine_gas,Gas Turbine,engine,titanium:15.0|nickel:5.0|steel:10.0,28.0,100000,Jet-fuel rotary engine
turbine_steam,Steam Turbine,engine,steel:30.0|copper:3.0|brass:1.0,32.0,50000,Steam-driven rotary engine
turbine_wind,Wind Turbine,engine,fiberglass:20.0|steel:15.0|copper:5.0,35.0,-5000,Wind-powered electric generator
hydraulic_pump,Hydraulic Pump,engine,steel:5.0|rubber:0.5|brass:0.3,5.0,1500,Pressurized fluid pump
pneumatic_compressor,Pneumatic Compressor,engine,steel:8.0|aluminum:2.0|rubber:0.5,9.0,2000,Air compression unit
fuel_cell,Fuel Cell,engine,platinum:0.01|carbon_fiber_mat:0.5|steel:1.0,1.5,-1000,Hydrogen electrochemical converter
nuclear_reactor_small,Small Nuclear Reactor,engine,steel:100.0|lead:50.0|titanium:10.0,150.0,-50000,Compact fission power source
#
# === STRUCTURAL ===
bolt,Bolt,structural,steel:0.02,0.02,0,Threaded fastener with hex head
nut,Nut,structural,steel:0.01,0.01,0,Threaded hex fastener mate
washer,Washer,structural,steel:0.005,0.005,0,Load-distributing flat ring
screw,Screw,structural,steel:0.01,0.008,0,Self-tapping threaded fastener
nail,Nail,structural,steel:0.005,0.004,0,Smooth shank driven fastener
rivet,Rivet,structural,aluminum:0.008,0.007,0,Permanent deforming fastener
bracket,Bracket,structural,steel:0.3,0.25,0,L-shaped support angle
beam_steel,Steel Beam,structural,steel:25.0,24.0,0,I-profile structural member
beam_wood,Wood Beam,structural,pine:12.0,8.0,0,Rectangular timber member
pipe_steel,Steel Pipe,structural,steel:3.0,2.8,0,Hollow round steel section
pipe_pvc,PVC Pipe,structural,pvc:0.8,0.6,0,Lightweight plastic conduit
cable,Cable,structural,steel:1.5|rubber:0.3,1.6,0,Multi-strand steel wire rope
rope_component,Rope,structural,hemp:0.5,0.4,0,Twisted natural fiber line
chain_heavy,Heavy Chain,structural,steel:3.0,2.8,0,Thick linked lifting chain
plate_steel,Steel Plate,structural,steel:10.0,9.5,0,Flat rolled steel sheet
sheet_metal,Sheet Metal,structural,steel:2.0,1.8,0,Thin gauge steel panel
angle_iron,Angle Iron,structural,steel:2.5,2.3,0,L-shaped structural profile
#
# === ELECTRONICS ===
microchip,Microchip,electronics,silicon:0.005|gold:0.001|copper:0.002,0.005,0.5,Integrated circuit processor
sensor_temperature,Temperature Sensor,electronics,copper:0.01|abs_plastic:0.02,0.025,0.1,Thermocouple measurement device
sensor_pressure,Pressure Sensor,electronics,steel:0.02|silicon:0.005,0.02,0.1,Strain gauge pressure transducer
sensor_motion,Motion Sensor,electronics,abs_plastic:0.02|copper:0.005,0.02,0.2,Infrared movement detector
sensor_light,Light Sensor,electronics,silicon:0.003|abs_plastic:0.01,0.01,0.05,Photodiode illuminance meter
antenna,Antenna,electronics,aluminum:0.1|copper:0.05,0.12,0,Electromagnetic signal transducer
speaker,Speaker,electronics,copper:0.1|iron:0.1|abs_plastic:0.05,0.2,5,Electromagnetic sound transducer
microphone,Microphone,electronics,copper:0.02|abs_plastic:0.01,0.025,0.1,Acoustic-to-electric transducer
display_small,Small Display,electronics,glass:0.1|copper:0.02|polycarbonate:0.05,0.15,3,Compact LCD screen module
display_medium,Medium Display,electronics,glass:0.3|copper:0.05|polycarbonate:0.1,0.4,8,Standard LCD screen module
camera_module,Camera Module,electronics,glass:0.01|silicon:0.005|abs_plastic:0.02,0.03,1,Digital image sensor unit
gps_module,GPS Module,electronics,copper:0.01|abs_plastic:0.02,0.025,0.5,Satellite positioning receiver
radio_transceiver,Radio Transceiver,electronics,copper:0.1|abs_plastic:0.05|aluminum:0.05,0.15,2,Two-way radio frequency module
servo_motor,Servo Motor,electronics,copper:0.1|steel:0.1|abs_plastic:0.05,0.2,10,Precision position actuator
#
# === FLUID / THERMAL ===
pipe_fitting,Pipe Fitting,fluid,steel:0.2|rubber:0.05,0.2,0,Threaded pipe junction piece
valve_ball,Ball Valve,fluid,steel:0.5|rubber:0.1,0.5,0,Quarter-turn shut-off valve
valve_check,Check Valve,fluid,steel:0.4|rubber:0.08,0.4,0,One-way backflow preventer
pump_water,Water Pump,fluid,steel:2.0|rubber:0.3|copper:0.5,2.5,200,Centrifugal water mover
pump_fuel,Fuel Pump,fluid,steel:1.5|rubber:0.2|brass:0.3,1.8,150,Positive-displacement fuel mover
filter_air,Air Filter,fluid,cotton:0.1|abs_plastic:0.2,0.25,0,Particulate air cleaner element
filter_water,Water Filter,fluid,carbon_fiber_mat:0.05|abs_plastic:0.15,0.18,0,Activated carbon water purifier
filter_oil,Oil Filter,fluid,steel:0.1|cotton:0.05,0.12,0,Spin-on lubricant filter
radiator,Radiator,fluid,aluminum:3.0|copper:1.0|rubber:0.3,3.8,0,Fin-tube heat dissipation unit
heat_exchanger,Heat Exchanger,fluid,copper:2.0|steel:1.5,3.2,0,Counter-flow thermal transfer unit
thermostat,Thermostat,fluid,brass:0.1|copper:0.05,0.12,0.1,Temperature-actuated flow controller
compressor_ac,AC Compressor,fluid,steel:5.0|aluminum:2.0|copper:1.0,7.0,1500,Refrigerant gas compressor
